iter	Logloss
170	0.5839543085
171	0.5838316289
172	0.5836231437
173	0.5834314177
174	0.5834313303
175	0.5832737161
176	0.5831301927
177	0.5829907334
178	0.5828447866
179	0.5827040953
180	0.5825955523
181	0.5823815863
182	0.5821926842
183	0.5821314522
184	0.5820384386
185	0.5819445593
186	0.5818113332
187	0.5818113331
188	0.5816595237
189	0.581497744
190	0.5813909133
191	0.5812302252
192	0.5811141269
193	0.5810369793
194	0.5809481119
195	0.5808468383
196	0.580704974
197	0.580703406
198	0.5805979301
199	0.5805109477
200	0.5802458535
201	0.5801098151
202	0.5799684101
203	0.5798286469
204	0.579746261
205	0.5796144051
206	0.5794844411
207	0.5793274534
208	0.5791298527
209	0.5789748905
210	0.5788900615
211	0.5788393023
212	0.5787478031
213	0.5786611934
214	0.5785049022
215	0.5785046905
216	0.5783535799
217	0.5781699292
218	0.5781140125
219	0.5780241637
220	0.5778245536
221	0.5777101009
222	0.5774858821
223	0.5773935574
224	0.5772678173
225	0.5771015532
226	0.5771015532
227	0.5771012003
228	0.5770955169
229	0.5769237243
230	0.5767963626
231	0.5767107325
232	0.5765937712
233	0.5764739054
234	0.5763930336
235	0.5762465039
236	0.5760896772
237	0.5759979127
238	0.5759978509
239	0.5759269443
240	0.5757966698
241	0.5756348212
242	0.5754942114
243	0.5752932179
244	0.5752272342
245	0.5750836099
246	0.5749747134
247	0.5748763552
248	0.5747581286
249	0.5746775513
250	0.5745480953
251	0.5743878079
252	0.5741939397
253	0.5740387398
254	0.5739019879
255	0.5738986523
256	0.5737366609
257	0.5734866641
258	0.5733892932
259	0.573388644
260	0.5731886481
261	0.5730267673
262	0.5730266854
263	0.5729332641
264	0.5727965998
265	0.5726454287
266	0.5726454287
267	0.5724589509
268	0.572304674
269	0.5721571009
270	0.5720449126
271	0.5719246693
272	0.5717631749
273	0.5716533725
274	0.5715439015
275	0.571359513
276	0.5712098295
277	0.5710435432
278	0.5709505605
279	0.5708206442
280	0.5706197017
281	0.5704861056
282	0.5704294557
283	0.5702479027
284	0.5701205138
285	0.5699841533
286	0.5698739878
287	0.5697866994
288	0.5696077667
289	0.5696077664
290	0.569492647
291	0.5693352466
292	0.5693213177
293	0.5691804364
294	0.5691070806
295	0.5690012969
296	0.5688416227
297	0.5687192698
298	0.5687182985
299	0.5686228496
300	0.5684253289
301	0.5683228168
302	0.5681465133
303	0.5680802082
304	0.5679774023
305	0.5679773524
306	0.5678996618
307	0.5678165222
308	0.5677374916
309	0.5676398015
310	0.5674786436
311	0.5673375156
312	0.5672050962
313	0.5670440242
314	0.5669011947
315	0.5667765374
316	0.5666328399
317	0.5664799555
318	0.5663551248
319	0.5662251474
320	0.5661573808
321	0.5659811812
322	0.5658716894
323	0.565746869
324	0.5656427347
325	0.5655319289
326	0.565529193
327	0.565339643
328	0.5653392815
329	0.5651536798
330	0.5650255555
331	0.564865988
332	0.5648651999
333	0.5647648108
334	0.564688583
335	0.5646011472
336	0.5644784527
337	0.5643903998
338	0.5642976581
339	0.5642060723
340	0.5640386388
341	0.5638465218
342	0.5637206485
343	0.5635488974
344	0.5634737945
345	0.563269788
346	0.5631610849
347	0.5630752926
348	0.5629311469
349	0.5629297641
350	0.5629177036
351	0.5628015122
352	0.5625900152
353	0.5625081623
354	0.5624179875
355	0.5623462586
356	0.5622374118
357	0.5621207655
358	0.5620361608
359	0.5619439168
360	0.5618173096
361	0.5617309009
362	0.5617309009
363	0.5615783247
364	0.5615056221
365	0.561418905
366	0.5613161136
367	0.5612678133
368	0.5611657198
369	0.5610785144
370	0.5609704544
371	0.5609179565
372	0.560909004
373	0.5607844064
374	0.5606161953
375	0.560494435
376	0.5604017452
377	0.5603459372
378	0.5602206771
379	0.5601346274
380	0.5600131268
381	0.5598884805
382	0.559784287
383	0.55960099
384	0.5594697278
385	0.5593394907
386	0.5591711577
387	0.5590328447
388	0.5589234016
389	0.5587411912
390	0.5585854861
391	0.558476517
392	0.5582934663
393	0.5582103019
394	0.5580674465
395	0.5580505814
396	0.5579380101
397	0.5578557382
398	0.5578093318
399	0.5576908673
400	0.5576887219
401	0.5575348753
402	0.5574247502
403	0.5573489478
404	0.5572337102
405	0.5572300212
406	0.5571568316
407	0.5571029995
408	0.5569369371
409	0.5567460017
410	0.5566223313
411	0.5564694971
412	0.5563690943
413	0.556195804
414	0.5561957075
415	0.5561823719
416	0.5560410002
417	0.5559810362
418	0.5558510334
419	0.5557847964
420	0.5556791371
421	0.5555403091
422	0.5554409737
423	0.5553659347
424	0.5552865583
425	0.5551452332
426	0.5551019662
427	0.5549894967
428	0.5549337772
429	0.5547471238
430	0.5546884103
431	0.5545342561
432	0.5543830033
433	0.5543120228
434	0.5543120227
435	0.554311997
436	0.5542185377
437	0.5541424075
438	0.5541424075
439	0.5539559404
440	0.5538361438
441	0.5536864244
442	0.5535764903
443	0.5535764901
444	0.5534571289
445	0.5533050127
446	0.5531958557
447	0.553110764
448	0.5531064264
449	0.5529929887
450	0.5529929757
451	0.5529853587
452	0.5528925864
453	0.5527030928
454	0.552616595
455	0.5524634793
456	0.5524345067
457	0.5522977625
458	0.552157286
459	0.5520384876
460	0.5518783196
461	0.5518177792
462	0.5516891805
463	0.5515800559
464	0.5514616811
465	0.5513789373
466	0.5512892957
467	0.5511858217
468	0.5510464574
469	0.5509393885
470	0.5507923754
471	0.550726922
472	0.5506885547
473	0.5505420595
474	0.5504305025
475	0.5502806093
476	0.5501814246
477	0.5500584025
478	0.5498557274
479	0.5497049966
480	0.5495564652
481	0.5494162343
482	0.5492506055
483	0.5491488283
484	0.5490341618
485	0.5488838233
486	0.5487816403
487	0.5487445534
488	0.5486631026
489	0.5485574688
490	0.5484250103
491	0.5484249188
492	0.5482261103
493	0.5481194036
494	0.5480175936
495	0.5479294354
496	0.5477943524
497	0.5476971837
498	0.5475030418
499	0.5473617353
