iter	Logloss
0	0.6712389806
1	0.671234578
2	0.655155233
3	0.6426815982
4	0.6377918507
5	0.6313874936
6	0.6268553201
7	0.6238985106
8	0.6238984926
9	0.6222485156
10	0.6201104339
11	0.6181245317
12	0.6170782518
13	0.6157804962
14	0.6148207521
15	0.6140634209
16	0.6134447806
17	0.6128579307
18	0.6122177733
19	0.6116430737
20	0.6112231532
21	0.6108962851
22	0.6103447055
23	0.6100740152
24	0.6097810318
25	0.6093519747
26	0.608904239
27	0.6089042381
28	0.6085994467
29	0.6082474683
30	0.6078191353
31	0.6078191352
32	0.6073248494
33	0.6068021204
34	0.6064484726
35	0.6062210818
36	0.6061033447
37	0.6056030165
38	0.6054837978
39	0.6051090216
40	0.6048761483
41	0.6048016095
42	0.6046563716
43	0.6044058336
44	0.604317651
45	0.604121236
46	0.6038836664
47	0.6036755206
48	0.6032963075
49	0.6032912832
50	0.6028461356
51	0.6026275637
52	0.6026273845
53	0.6024917394
54	0.6022945743
55	0.6022880166
56	0.6020776424
57	0.60196804
58	0.601848075
59	0.6015074672
60	0.6012724503
61	0.6012538792
62	0.6011099474
63	0.6009689009
64	0.6007529399
65	0.6005028187
66	0.6003257677
67	0.5998422789
68	0.5996470535
69	0.599367481
70	0.5990719144
71	0.5990667131
72	0.5989255477
73	0.5987589891
74	0.5984840232
75	0.5982606455
76	0.598074522
77	0.5979202463
78	0.597741364
79	0.5975033469
80	0.5972737056
81	0.5971228064
82	0.5969851574
83	0.596764834
84	0.5965961114
85	0.5963526941
86	0.5961643639
87	0.5960542694
88	0.5958635909
89	0.5957647389
90	0.5955517388
91	0.5953330159
92	0.595236007
93	0.5951263847
94	0.5949554421
95	0.594791741
96	0.5945853676
97	0.5943939885
98	0.5942377013
99	0.5941319281
100	0.5939507267
101	0.5939507267
102	0.5936488621
103	0.5934930084
104	0.5932370366
105	0.593128267
106	0.5930358013
107	0.5928425749
108	0.5926259526
109	0.5923314805
110	0.5921351672
111	0.5921068568
112	0.5918896083
113	0.591795542
114	0.5916970605
115	0.5915133295
116	0.5914260051
117	0.5912207025
118	0.5911132813
119	0.5908476832
120	0.590675708
121	0.5904854256
122	0.5902891652
123	0.5900987676
124	0.5899865628
125	0.5899716251
126	0.5899009056
127	0.5897415944
128	0.5895983855
129	0.5895155361
130	0.5893262781
131	0.5891877503
132	0.5889656404
133	0.5887978676
134	0.5886921343
135	0.5885572394
136	0.5885489988
137	0.5883699368
138	0.5881820739
139	0.5880339146
140	0.587868728
141	0.5876910591
142	0.5874808006
143	0.5873552386
144	0.5871962036
145	0.5870434357
146	0.5868777879
147	0.5867163144
148	0.5867163141
149	0.5867163138
150	0.5866908966
151	0.5865249944
152	0.5863806105
153	0.5863325117
154	0.5860900841
155	0.5860258218
156	0.5859333307
157	0.5857581156
158	0.5855829031
159	0.5854505215
160	0.5852355708
161	0.5850104654
162	0.5848902797
163	0.5847585016
164	0.5846615685
165	0.5845012929
166	0.5843950206
167	0.5842607705
168	0.5842589613
169	0.58413292
